Japanese sentence,Romaji,Meaning,section,chapter
インドネシア,Indoneshia,Indonesia,3,2
えーと,eeto,Er… (expresses that the speaker is thinking),3,3
同じ,onaji,same,3,3
会社,kaisha,company,3,3
～からですか？,～kara desu ka?,Are you from ～?,3,3
カンボジア,Kanbojia,Cambodia,3,3
国／お国,kuni / okuni,country /  (your) country,3,3
出身／ご出身,shusshin / goshusshin,hometown / (your) hometown,3,3
そうですか,soo desu ka,I see. (indicates that the speaker has understood what the other person is saying),3,3
どちら,dochira  ,where (polite expression),3,3
どちらからですか？,dochira kara desu ka?,Where are you from?,3,3
友だち,tomodachi,friend,3,3
名前／お名前 ,namae / onamae,name,3,3
ハノイ,Hanoi,Hanoi,3,3
フエ,Fue,Hue,3,3
ベトナム,Betonamu,Vietnam,3,3
みなさん,minasan,all of you,3,3
～月　（12月）,～gatsu　(juuni-gatsu),month of the year　(e.g. 12th month = December),3,4
国籍,kokuseki,nationality,3,4
住所,juusho,address,3,4
生年月日,seenengappi,date of birth,3,4
西暦,seereki,Gregorian calendar,3,4
電話番号,denwa-bangoo,telephone number,3,4
～日,～nichi,day of the month,3,4
～年,～nen,year,3,4
メール,meeru,email,3,4
申込書,mooshikomisho,application form,3,4
兄,ani,(my) elder brother,4,1
姉,ane,(my) elder sister,4,1
あれ？,are?,Oh? (expresses surprise),4,1
妹,imooto,(my) younger sister,4,1
夫,otto,(my) husband,4,1
弟,otooto,(my) younger brother,4,1
こちら,kochira,this is (used when introducing someone),4,1
子ども,kodomo,child,4,1
紹介します,shookai-shimasu,I will introduce you.,4,1
紹介する,shookai-suru,to introduce,4,1
～先生,～sensee,～ sensee (suffix for teacher),4,1
父,chichi,(my) father,4,1
妻,tsuma,(my) wife,4,1
（どうぞ）よろしく,(doozo) yoroshiku,I look forward to getting to know you.,4,1
母,haha,(my) mother,4,1
いくつ,ikutsu,how old (asking age),4,2
うちの,uchi no,my / our,4,2
家族／ご家族,kazoku / gokazoku,family / (your) family,4,2
90,kyuujuu,ninety,4,2
50,gojuu,fifty,4,2
～歳,～sai,～ years old,4,2
30,sanjuu,thirty,4,2
11,juu-ichi,eleven,4,2
19,juu-kyuu,nineteen,4,2
15,juu-go,fifteen,4,2
13,juu-san,thirteen,4,2
17,juu-nana,seventeen,4,2
12,juu-ni,twelve,4,2
18,juu-hachi,eighteen,4,2
14,juu-yon,fourteen,4,2
16,juu-roku,sixteen,4,2
住む,sumu,to live,4,2
住んでいます,sunde imasu,live,4,2
そう,soo,I see. (a casual way of saying そうですか),4,2
それから,sorekara,and then,4,2
どこ,doko,where,4,2
70,nanajuu,seventy,4,2
何歳,nan-sai,how old,4,2
20,nijuu,twenty,4,2
20歳,nijussai / hatachi,twenty years old,4,2
80,hachijuu,eighty,4,2
フィリピン,Firipin,the Philippines,4,2
40,yonjuu,forty,4,2
60,rokujuu,sixty,4,2
犬,inu,dog,4,3
おじいさん,ojiisan,old male ,4,3
かわいいですね,kawaii desu ne,How cute!,4,3
恋人,koibito,boyfriend / girlfriend,4,3
だれ,dare,who,4,3
東京,Tookyoo,Tokyo,4,3
日本,Nihon,Japan,4,3
へー,hee,Oh. (expresses slight interest),4,3
ペット,petto,pet,4,3
海,umi,sea / ocean,4,4
最高,saikoo,fantastic,4,4
誕生日,tanjoobi,birthday,4,4
ツーショット,tsuushotto,a photograph of two people,4,4
天気／お天気,tenki / otenki,weather,4,4
魚,sakana,fish,5,1
好きです,suki desu,I like it.,5,1
肉,niku,meat,5,1
野菜,yasai,vegetable,5,1
うどん,udon,udon noodles,5,2
梅干し,umeboshi,umeboshi (pickled plum),5,2
カレー,karee,curry ,5,2
牛丼,gyuudon,beef bowl,5,2
刺身,sashimi,sashimi (sliced raw fish),5,2
すごい！,sugoi !,Wow!,5,2
すし,sushi,sushi,5,2
そば,soba,soba noodles,5,2
だいじょうぶですか？,daijoobu desu ka?,Is it okay?,5,2
食べ物,tabemono,food,5,2
天ぷら,tenpura,tempura,5,2
納豆,nattoo,natto (fermented soybeans),5,2
何,nani,what,5,2
ラーメン,raamen,ramen noodles,5,2
わさび,wasabi,wasabi (Japanese horseradish),5,2
～はちょっと…,～wa chotto…,I don't really like ～.,5,2
いえ／いいえ,ie / iie,no,5,3
いえ、けっこうです,"ie, kekkoo desu","No, thank you.",5,3
お酒,osake,alcohol / sake,5,3
お茶,ocha,tea / Japanese tea,5,3
～お願いします,～onegaishimasu,～ please.,5,3
紅茶,koocha,black tea,5,3
コーヒー,koohii,coffee,5,3
コーラ,koora,cola,5,3
ジュース,juusu,juice,5,3
飲む／飲みます,nomu / nomimasu,to drink,5,3
はい、お願いします,"hai, onegaishimasu","Yes, please.",5,3
ビール,biiru,beer,5,3
水,mizu,water ,5,3
朝ご飯,asa-gohan,breakfast,5,4
あまり,amari,rarely,5,4
いつも,itsumo,always,5,4
え～！,ee!,Huh?! (expresses surprise),5,4
オレンジジュース,orenji-juusu,orange juice,5,4
牛乳,gyuunyuu,milk,5,4
果物,kudamono,fruit,5,4
ご飯,gohan,cooked rice,5,4
サラダ,sarada,salad,5,4
シリアル,shiriaru,cereal,5,4
スープ,suupu,soup,5,4
食べる／食べます,taberu / tabemasu,to eat,5,4
卵,tamago,egg,5,4
トマトジュース,tomato-juusu,tomato juice,5,4
パン,pan,bread,5,4
みそ汁,misoshiru,miso soup,5,4
ヨーグルト,yooguruto,yoghurt,5,4
よく,yoku,often,5,4
りんごジュース,ringo-juusu,apple juice,5,4
いただきます,itadakimasu,Thank you for the food ! (polite expression said before a meal),5,5
今日,kyoo,today,5,5
アイスクリーム,aisukuriimu,ice cream,6,1
アイスコーヒー,aisu-koohii,iced coffee,6,1
アップルパイ,appurupai,apple pie,6,1
ウーロン茶,uuroncha,oolong tea,6,1
S,esu,small,6,1
M,emu,medium,6,1
L,eru,large,6,1
コカコーラ,koka-koora,Coca-Cola,6,1
セット,setto,set,6,1
ダブル,daburu,double,6,1
単品,tanpin,single item,6,1
チーズ,chiizu,cheese,6,1
チキン,chikin,chicken,6,1
デザート,dezaato,dessert,6,1
てりやき,teriyaki,teriyaki,6,1
ドリンク,dorinku,drink,6,1
～バーガー　（ダブルバーガー）,～baagaa　(daburu baagaa),～ burger　(e.g. double burger),6,1
ハンバーガー,hanbaagaa,hamburger,6,1
フィッシュ,fisshu,fish,6,1
フライドポテト,furaido-poteto,French fries / fried potatoes,6,1
ホットコーヒー,hotto-koohii,hot coffee,6,1
いらっしゃいませ,irasshaimase,Welcome.,6,2
おうかがいします,oukagaishimasu,Can I take your order? (polite expression),6,2
お持ち帰りですね,omochikaeri desu ne,"That's to take out, right? (polite expression)",6,2
～ください,～kudasai,Give me ～.,6,2
ここで,koko de,"Eat in, please.",6,2
こちらでおめしあがりですか？,kochira de omeshiagari desu ka?,Would you like to eat in? (polite expression),6,2
サイズ,saizu,size,6,2
テイクアウトで,teikuauto de,"To takeout, please.",6,2
何になさいますか？,nani ni nasaimasu ka?,What would you like? (polite expression),6,2
うーん,uun,Well...　(expresses that the speaker is not sure and is thinking),6,3
おいしいです,oishii desu,It's delicious.,6,3
ここ、いいですか？,"koko, ii desuka?",Can I sit here?,6,3
どうですか？,doo desu ka?,How is it?,6,3
～にします,～ni shimasu,I'll have ～.,6,3
あと,ato,and / also,6,4
ある／あります,aru / arimasu,to have,6,4
いくつ,ikutsu,how many (asking quantity),6,4
5つ,itsutsu,five (for things),6,4
ウーロンハイ,uuronhai,oolong tea-flavored chu-hi,6,4
枝豆,edamame,edamame (green soybeans in the pod),6,4
お魚,osakana,fish,6,4
おしぼり,oshibori,wet hand towel,6,4
おつまみ,otsumami,snacks,6,4
お問い合わせください,otoiawase-kudasai,Please ask. (polite expression),6,4
お肉,oniku,meat,6,4
お持ちします,omochi-shimasu,I'll bring them to you. (polite expression used by staff),6,4
唐揚げ,karaage,deep-fried,6,4
カルピス,karupisu,Calpis,6,4
カルピスハイ,karupisuhai,Calpis-flavored chu-hi,6,4
グラス,gurasu,glass,6,4
ケチャップ,kechappu,ketchup,6,4
9つ,kokonotsu,nine (for things),6,4
サイコロステーキ,saikoro-suteeki,diced steak,6,4
刺身,sashimi,sashimi (sliced raw fish),6,4
しおから,shiokara,shiokara (pickled seafood),6,4
焼酎,shoochuu,shochu (Japanese distilled liquor),6,4
スプーン,supuun,spoon,6,4
すみません,sumimasen,Excuse me. (used when the speaker wants to start talking to someone),6,4
ソフトドリンク,sofuto-dorinku,soft drink,6,4
たこわさ,takowasa,takowasa (raw octopus seasoned with wasabi),6,4
酎ハイ,chuuhai,chu-hi (Japanese distilled liquor mixed with soda water),6,4
～点盛  （7点盛）,～ten-mori　(nana-ten-mori),set of ～ items　(set of seven items),6,4
特製つくね,tokusee-tsukune,special tsukune (meatballs),6,4
とり,tori,chicken,6,4
取り皿,torizara,individual plate,6,4
7つ,nanatsu,seven (for things),6,4
生ビール,nama-biiru,draft beer,6,4
日本酒,nihonshu,sake (Japanese rice wine),6,4
馬刺,basashi,basashi (horse meat sashimi),6,4
はし／おはし,hashi / ohashi,chopsticks,6,4
1つ,hitotsu,one (for thing),6,4
冷やしトマト,hiyashi-tomato,chilled tomatoes,6,4
冷奴,hiyayakko,cold tofu,6,4
2つ,futatsu,two (for things) ,6,4
マヨネーズ,mayoneezu,mayonnaise,6,4
3つ,mittsu,three (for things),6,4
6つ,muttsu,six (for things),6,4
メニュー,menyuu,menu,6,4
盛り合わせ,moriawase,assortment,6,4
焼魚,yakizakana,grilled fish,6,4
焼き鳥／焼鳥,yakitori,yakitori (grilled chicken),6,4
8つ,yattsu,eight (for things),6,4
4つ,yottsu,four (for things),6,4
緑茶,ryokucha,green tea,6,4
緑茶ハイ,ryokuchahai,green tea-flavored chu-hi,6,4
レモンハイ,remonhai,lemon-flavored chu-hi,6,4
居酒屋,izakaya,izakaya (Japanese-style pub),6,5
うどん,udon,udon noodles,6,5
カレー,karee,curry ,6,5
牛丼,gyuudon,beef bowl,6,5
すし,sushi,sushi,6,5
そば,soba,soba noodles,6,5
ラーメン,raamen,ramen noodles,6,5
1階,ikkai,first floor,7,1
居間,ima,living room,7,1
お世話になります,osewa ni narimasu,I'll be in your care. (polite expression used when meeting someone who will look after you),7,1
お風呂,ofuro,bathroom,7,1
階段,kaidan,stairs,7,1
管理人室,kanrininshitsu,building manager's office,7,1
キッチン,kicchin,kitchen,7,1
くつ,kutsu,shoes,7,1
玄関,genkan,entrance,7,1
ご飯,gohan,food　/　meal,7,1
食堂,shokudoo,cafeteria,7,1
台所,daidokoro,kitchen,7,1
トイレ,toire,toilet,7,1
2階,ni-kai,second floor,7,1
庭,niwa,garden,7,1
脱いでください,nuide kudasai,Please take them off.,7,1
脱ぐ／脱ぎます,nugu / nugimasu,to take off,7,1
入ってください,haitte kudasai,Please come in.,7,1
入る／入ります,hairu / hairimasu,to come in,7,1
バルコニー,barukonii,balcony,7,1
部屋,heya,room,7,1
ベランダ,beranda,veranda,7,1
リビング,ribingu,living room,7,1
いす,isu,chair,7,2
エアコン,eakon,air-conditioner,7,2
炊飯器,suihanki,rice-cooker,7,2
洗濯機,sentakuki,washing machine,7,2
使う／使います,tsukau / tsukaimasu,to use,7,2
使ってください,tsukatte kudasai,Please use it.,7,2
テーブル,teeburu,table,7,2
テレビ,terebi,television,7,2
電子レンジ,denshi-renji,microwave,7,2
トースター,toosutaa,toaster,7,2
ない,nai,I don't / no (negative of ある),7,2
ふとん,futon,futon (Japanese bedding),7,2
ベッド,beddo,bed,7,2
みんなで,minna de,with everybody,7,2
冷蔵庫,reezooko,refrigerator,7,2
Wi-Fi,wai-fai,Wi-Fi,7,2
新しい,atarashii,new,7,3
いいですね,ii desu ne,That's nice.,7,3
家,ie,house,7,3
うち,uchi,home,7,3
うるさい,urusai,noisy,7,3
大きい,ookii,large,7,3
きたない,kitanai,untidy,7,3
きれい（な）,kiree (na),tidy,7,3
～区　（南区）,～ku　(minami-ku),～ Ward　(e.g. Minami Ward),7,3
静か（な）,shizuka (na),quiet,7,3
せまい,semai,cramped,7,3
小さい,chiisai,small,7,3
近く,chikaku,close,7,3
ちょっと,chotto,a little,7,3
でも,demo,but,7,3
どう,doo,how,7,3
どう？,doo?,How is it? (a casual way of saying どうですか？),7,3
とても,totemo,very,7,3
広い,hiroi,spacious,7,3
ふーん,fuun,Hmm… (casually indicates that the speaker is listening to the other person),7,3
古い,furui,old,7,3
アパート,apaato,apartment,7,4
一戸建て,ikkodate,detached house,7,4
お寺,otera,temple,7,4
学校,gakkoo,school,7,4
公園,kooen,park,7,4
シェアハウス,shea-hausu,shared house,7,4
すごい,sugoi,amazing,7,4
すごいですね,sugoi desu ne,That's amazing.,7,4
マンション,manshon,condominium,7,4
寮,ryoo,dormitory,7,4
一時停止,ichiji-teeshi,pause,7,5
入れる／入,ireru,to turn on / ON,7,5
おいそぎ,oisogi,quick wash,7,5
温度,ondo,temperature,7,5
風向,kazamuki / fuukoo,wind direction,7,5
切る／切,kiru,to turn off / OFF,7,5
コース,koosu,mode,7,5
自動,jidoo,automatic,7,5
除湿,joshitsu,dehumidify,7,5
水量,suiryoo,water volume,7,5
スタート,sutaato,start,7,5
槽洗浄,soosenjoo,drum cleaning,7,5
タイマー,taimaa,timer,7,5
暖房,danboo,heat,7,5
手洗い,tearai,hand wash,7,5
停止,teeshi,stop,7,5
電源,dengen,power supply,7,5
ドライ,dorai,delicate wash,7,5
取消,torikeshi,cancel,7,5
残り,nokori,remaining,7,5
標準,hyoojun,standard,7,5
風量,fuuryoo,wind speed,7,5
毛布,moofu,blankets,7,5
予約,yoyaku,timer,7,5
冷房,reeboo,cool,7,5
打ち合わせをする／します,uchiawase o suru / shimasu,to do meeting,8,1
お茶をいれる／いれます,ocha o ireru / iremasu,to make tea,8,1
会議室,kaigishitsu,conference room,8,1
着替える／着替えます,kigaeru / kigaemasu,to change (clothing),8,1
喫煙所,kitsuenjo,smoking room / smoking area,8,1
給湯室,kyuutooshitsu,kitchenette,8,1
更衣室,kooishitsu,changing room,8,1
ご飯を食べる／食べます,gohan o taberu / tabemasu,to have meal,8,1
食堂,shokudoo,cafeteria,8,1
倉庫,sooko,storeroom　,8,1
男性,dansee,men,8,1
いる／います,iru / imasu,to be present,8,2
探してみます,sagashite mimasu,I'll try to look.,8,2
たぶん,tabun,probably,8,2
～ね　（いませんね）,～ne　(imasen ne),(used when sharing  information with someone),8,2
～よ　（いるよ）,～yo　(iru yo),(used when telling someone information they did not know),8,2
あそこ,asoko,over there,8,3
ありました,arimashita,It's here. (used when you have found something you were looking for),8,3
上,ue,above,8,3
ガムテープ,gamu-teepu,duct tape,8,3
ここ,koko,here,8,3
コピー機,kopiiki,copy machine,8,3
ごみ箱,gomibako,garbage can,8,3
下,shita,below,8,3
そこ,soko,there,8,3
机,tsukue,desk,8,3
中,naka,inside,8,3
のり,nori,glue,8,3
箱,hako,box,8,3
はさみ,hasami,scissors,8,3
引き出し,hikidashi,drawer,8,3
FAX,fakkusu,fax,8,3
横,yoko,beside,8,3
応接室,oosetsushitsu,reception room,8,4
事務室,jimushitsu,office,8,4
朝,asa,morning,9,1
1時,ichi-ji,one o'clock,9,1
今,ima,now,9,1
ええ,ee,yes,9,1
お祈り,oinori,prayer,9,1
起きる／起きます,okiru / okimasu,to wake up,9,1
遅い,osoi,late,9,1
遅いですね,osoi desu ne,That's late.,9,1
音楽,ongaku,music,9,1
聞く／聞きます,kiku / kikimasu,to listen,9,1
9時,ku-ji,nine o'clock,9,1
ゲーム,geemu,games,9,1
午後,gogo,p.m.,9,1
5時,go-ji,five o'clock,9,1
午前,gozen,a.m.,9,1
～ごろ,～goro,around ～,9,1
3時,san-ji,three o'clock,9,1
30分,sanjuppun,～ :30 / half past ～,9,1
～時 ,～ji,～ o'clock,9,1
7時,shichi-ji,seven o'clock,9,1
11時,juu-ichi-ji,eleven o'clock,9,1
15分,juu-go-fun,～ :15 / quarter past ～,9,1
10時,juu-ji,ten o'clock,9,1
12時,juu-ni-ji,twelve o'clock,9,1
ジョギング,jogingu,jogging,9,1
する／します,suru / shimasu,to do,9,1
だいたい,daitai,about / around,9,1
何時,nan-ji,what time,9,1
2時,ni-ji,two o'clock,9,1
ネット,netto,Internet,9,1
寝る／寝ます,neru / nemasu,to sleep,9,1
8時,hachi-ji,eight o'clock,9,1
早い,hayai,early,9,1
早いですね,hayai desu ne,That's early.,9,1
半,han,～ :30 / half past ～,9,1
昼,hiru,afternoon,9,1
～分,～fun / pun,～ minutes (indicate the time),9,1
勉強する／勉強します,benkyoo-suru / benkyoo-shimasu,to study,9,1
毎朝,maiasa,every morning,9,1
毎日,mainichi,every day,9,1
見る／見ます,miru / mimasu,to watch,9,1
4時,yo-ji,four o'clock,9,1
夜,yoru,night,9,1
45分,yonjuu-go-fun,～ :45 / quarter to ～,9,1
6時,roku-ji,six o'clock,9,1
1日,ichinichi,for the day,9,2
残業,zangyoo,overtime,9,2
仕事,shigoto,work,9,2
スケジュール,sukejuuru,schedule,9,2
説明する／説明します,setsumee-suru / setsumee-shimasu,to explain,9,2
朝礼,chooree,morning assembly,9,2
ときどき,tokidoki,sometimes,9,2
はじめに,hajimeni,first,9,2
昼休み,hiruyasumi,lunch break,9,2
休み時間,yasumijikan,break time,9,2
外出,gaishutsu,out,9,3
銀行,ginkoo,bank,9,3
行動,koodoo,activity,9,3
在,zai,present,9,3
氏名,shimee,full name,9,3
早退,sootai,left early,9,3
遅刻,chikoku,late,9,3
不在,fuzai,absent,9,3
休み,yasumi,off,9,3
予定表,yoteehyoo,schedule board,9,3
いい,ii,good,9,4
行く／行きます,iku / ikimasu,to go,9,4
いつ,itsu,when,9,4
映画,eega,movie,9,4
火曜日／火,ka-yoobi / ka,Tuesday,9,4
金曜日／金,kin-yoobi / kin,Friday,9,4
月曜日／月,getsu-yoobi / getsu,Monday,9,4
ご飯,gohan,food　/　meal,9,4
水曜日／水,sui-yoobi / sui,Wednesday,9,4
だいじょうぶ（な）,daijoobu (na),fine,9,4
だめ（な）,dame (na),no good,9,4
土曜日／土,do-yoobi / do,Saturday,9,4
何曜日,nan-yoobi,which day of the week,9,4
～にしましょう,～ni shimashoo,Let's do it on ～.,9,4
日曜日／日,nichi-yoobi / nichi,Sunday,9,4
プール,puuru,swimming pool,9,4
木曜日／木,moku-yoobi / moku,Thursday,9,4
置いて（ください）,oite (kudasai),(Please) put it down.,10,1
片付けて（ください）,katazukete (kudasai) ,(Please) tidy it up.,10,1
ごみ,gomi,garbage,10,1
閉めて（ください）,shimete (kudasai) ,(Please) close it.,10,1
捨てて（ください）,sutete (kudasai),(Please) throw it away.,10,1
段ボール,danbooru,cardboard,10,1
手伝って（ください）,tetsudatte (kudasai),(Please) help.,10,1
取って（ください）,totte (kudasai) ,(Please) take it.,10,1
ドライバー,doraibaa,screwdriver,10,1
並べて（ください）,narabete (kudasai),(Please) arrange it.,10,1
プロジェクタ,purojekuta,projector,10,1
窓,mado,window,10,1
持って行って（ください）,motte-itte (kudasai) ,(Please) take it there.,10,1
持って来て（ください）,motte-kite (kudasai) ,(Please) bring it here.,10,1
リモコン,rimokon,remote controller,10,1
あとで,ato de,later,10,2
来てください,kite kudasai,Please come.,10,2
コピー,kopii,copy,10,2
19時,juu-ku-ji,7:00 p.m.,10,2
15時,juu-go-ji,3:00 p.m.,10,2
13時,juu-san-ji,1:00 p.m.,10,2
17時,juu-shichi-ji,5:00 p.m.,10,2
18時,juu-hachi-ji,6:00 p.m.,10,2
14時,juu-yo-ji,2:00 p.m.,10,2
16時,juu-roku-ji,4:00 p.m.,10,2
隣,tonari,next to,10,2
21時,nijuu-ichi-ji,9:00 p.m.,10,2
23時,nijuu-san-ji,11:00 p.m.,10,2
20時,nijuu-ji,8:00 p.m.,10,2
22時,nijuu-ni-ji,10:00 p.m.,10,2
～枚,～mai,～ sheets,10,2
～までに,～made ni,by ～,10,2
もしもし,moshi moshi,Hello. (on the phone),10,2
0時,ree-ji,12:00 midnight,10,2
折り返し,orikaeshi,return (a call),10,3
すぐに,suguni,immediately,10,3
第～　（第2）,dai～  (dai-ni),no.～　(e.g. no. 2),10,3
電話がありました,denwa ga arimashita,Someone called.,10,3
電話してください,denwa-shite kudasai,Please telephone.,10,3
電話する／電話します,denwa-suru / denwa-shimasu,to telephone,10,3
～部　（100部）,～bu　(hyaku-bu),～ copies　(e.g. 100 copies),10,3
ありますよ／あるよ,arimasu yo / aru yo,I have it.,10,4
いいよ,ii yo,Okay. (a casual way of saying いいですよ),10,4
えんぴつ,enpitsu,pencil,10,4
貸す／貸します,kasu / kashimasu,to lend,10,4
カッター,kattaa,box cutter,10,4
借りる／借ります,kariru / karimasu,to borrow,10,4
充電器,juudenki,charger,10,4
電卓,dentaku,calculator,10,4
のり,nori,glue,10,4
はさみ,hasami,scissors,10,4
ふせん,fusen,sticky note,10,4
ペン,pen,pen,10,4
ホチキス,hochikisu,stapler,10,4
かみそり,kamisori,razor,10,5
こしょう,koshoo,pepper,10,5
コンディショナー,kondishonaa,conditioner,10,5
砂糖,satoo,sugar,10,5
塩,shio,salt,10,5
シャンプー,shanpuu,shampoo,10,5
数量,suuryoo,quantity,10,5
スプーン,supuun,spoon,10,5
石けん,sekken,soap,10,5
タオル,taoru,towel,10,5
トイレットペーパー,toiretto-peepaa,toilet paper,10,5
ナイフ,naifu,knife,10,5
はし,hashi ,chopsticks,10,5
バスタオル,basu-taoru,bath towel,10,5
バスルーム,basu-ruumu,bathroom,10,5
歯ブラシ,haburashi,toothbrush,10,5
備品リスト,bihin-risuto,inventory,10,5
品名,hinmee,name of item,10,5
フォーク,fooku,fork,10,5
ミルク,miruku,milk,10,5
アニメ,anime,anime (animation),11,1
映画,eega,movie,11,1
音楽,ongaku,music,11,1
買い物,kaimono,shopping,11,1
ゲーム,geemu,games,11,1
趣味,shumi,hobby,11,1
スポーツ,supootsu,sports,11,1
読書,dokusho,reading,11,1
マンガ,manga,manga (comic books),11,1
料理,ryoori,cooking,11,1
アクション映画,akushon-eega,action movie,11,2
SF,esuefu,science fiction,11,2
クイーン,kuiin,Queen,11,2
クラシック,kurasshikku,classical,11,2
サッカー,sakkaa,soccer,11,2
ジャズ,jazu,jazz,11,2
ショパン,shopan,Chopin,11,2
水泳,suiee,swimming,11,2
スターウォーズ,sutaa-woozu,Star Wars,11,2
そうですねえ,soo desu nee,Let's see. (used when the speaker is thinking),11,2
大好き（な）,daisuki (na),love,11,2
卓球,takkyuu,table tennis,11,2
ドラゴンボール,doragon-booru,Dragon Ball,11,2
どんな,donna,what kind of,11,2
夏目漱石,natsume sooseki,Natsume Soseki,11,2
バスケットボール,basuketto-booru,basketball,11,2
バドミントン,badominton,badminton,11,2
ハリー・ポッター,harii pottaa,Harry Potter,11,2
ファンタジー,fantajii,fantasy,11,2
ホラー,horaa,horror,11,2
ミステリー,misuterii,mystery,11,2
村上春樹,murakami haruki,Murakami Haruki,11,2
ラグビー,ragubii,rugby,11,2
恋愛映画,ren'ai-eega,romantic movie,11,2
ロック,rokku,rock,11,2
あまり,amari,rarely,11,3
いつも,itsumo,always,11,3
えらいですね,erai desu ne,That's admirable.,11,3
～かなあ,～kanaa, I wonder ～ （expresses that the speaker is thinking as they talk）,11,3
聞く／聞きます,kiku / kikimasu,to listen,11,3
ごろごろ（する）／ごろごろ（します）,gorogoro (suru) / goｒoｇoro (shimasu),(to) laze around,11,3
散歩,sanpo,take a walk,11,3
する／します,suru / shimasu,to do,11,3
ぜんぜん,zenzen,(not) at all,11,3
洗濯,sentaku,laundry,11,3
掃除,sooji,cleaning,11,3
外,soto,outside,11,3
たいてい,taitee,usually,11,3
テニス,tenisu,tennis,11,3
テレビ,terebi,television,11,3
ときどき,tokidoki,sometimes,11,3
パチンコ,pachinko,pachinko,11,3
1人で,hitori de,on my own,11,3
勉強する／勉強します,benkyoo-suru / benkyoo-shimasu,to study,11,3
本,hon,book,11,3
見る／見ます,miru / mimasu,to watch,11,3
休みの日,yasumi no hi,day off,11,3
ゆっくりする／ゆっくりします,yukkuri-suru / yukkuri-shimasu,to relax,11,3
よく,yoku,often,11,3
読む／読みます,yomu / yomimasu,to read,11,3
ショッピング,shoppingu,shopping,11,4
投稿,tookoo,post,11,4
ファッション,fasshon,fashion,11,4
